pretension_N,csv_index,csv_path,velocity
3,1,.\1D chain tension changing exp\old+new data comb\3n\SCOPE_13.csv,208.1724725
3,2,.\1D chain tension changing exp\old+new data comb\3n\SCOPE_15.csv,187.3305805
3,3,.\1D chain tension changing exp\old+new data comb\3n\scope_10.csv,179.7024195
3,4,.\1D chain tension changing exp\old+new data comb\3n\scope_11.csv,174.9760228
3,5,.\1D chain tension changing exp\old+new data comb\3n\scope_12.csv,186.7148277
4,1,.\1D chain tension changing exp\old+new data comb\4N\SCOPE_14.csv,194.4843693
4,2,.\1D chain tension changing exp\old+new data comb\4N\SCOPE_15.csv,200.995413
4,3,.\1D chain tension changing exp\old+new data comb\4N\SCOPE_16.csv,196.5898863
4,4,.\1D chain tension changing exp\old+new data comb\4N\SCOPE_17.csv,199.7449673
4,5,.\1D chain tension changing exp\old+new data comb\4N\SCOPE_18.csv,197.836349
5,1,.\1D chain tension changing exp\old+new data comb\5N\SCOPE_02.csv,196.3807652
5,2,.\1D chain tension changing exp\old+new data comb\5N\SCOPE_03.csv,197.0445102
5,3,.\1D chain tension changing exp\old+new data comb\5N\SCOPE_06.csv,191.7240528
5,4,.\1D chain tension changing exp\old+new data comb\5N\SCOPE_07.csv,190.8815638
6,1,.\1D chain tension changing exp\old+new data comb\6N\SCOPE_01.csv,195.9638603
6,2,.\1D chain tension changing exp\old+new data comb\6N\SCOPE_02.csv,194.2456323
6,3,.\1D chain tension changing exp\old+new data comb\6N\SCOPE_03.csv,197.6245691
6,4,.\1D chain tension changing exp\old+new data comb\6N\SCOPE_04.csv,204.2569996
6,5,.\1D chain tension changing exp\old+new data comb\6N\SCOPE_05.csv,203.6748574
6,6,.\1D chain tension changing exp\old+new data comb\6N\scope_14.csv,182.7864213
6,7,.\1D chain tension changing exp\old+new data comb\6N\scope_15.csv,180.7876148
6,8,.\1D chain tension changing exp\old+new data comb\6N\scope_16.csv,180.8909467
7,1,.\1D chain tension changing exp\old+new data comb\7N\SCOPE_01.csv,198.7058399
7,2,.\1D chain tension changing exp\old+new data comb\7N\SCOPE_02.csv,199.9793688
7,3,.\1D chain tension changing exp\old+new data comb\7N\SCOPE_03.csv,201.1414048
7,4,.\1D chain tension changing exp\old+new data comb\7N\SCOPE_04.csv,201.5623179
7,5,.\1D chain tension changing exp\old+new data comb\7N\SCOPE_05.csv,199.2061359
8,1,.\1D chain tension changing exp\old+new data comb\8N\SCOPE_11.csv,206.889376
8,2,.\1D chain tension changing exp\old+new data comb\8N\SCOPE_12.csv,203.5625683
8,3,.\1D chain tension changing exp\old+new data comb\8N\SCOPE_13.csv,211.048055
8,4,.\1D chain tension changing exp\old+new data comb\8N\SCOPE_14.csv,202.3355025
8,5,.\1D chain tension changing exp\old+new data comb\8N\SCOPE_15.csv,202.6316133
8,6,.\1D chain tension changing exp\old+new data comb\8N\scope_08.csv,188.3338801
8,7,.\1D chain tension changing exp\old+new data comb\8N\scope_09.csv,186.777795
8,8,.\1D chain tension changing exp\old+new data comb\8N\scope_10.csv,190.438531
8,9,.\1D chain tension changing exp\old+new data comb\8N\scope_16.csv,180.8909467
9,1,.\1D chain tension changing exp\old+new data comb\9N\SCOPE_01.csv,200.1962257
9,2,.\1D chain tension changing exp\old+new data comb\9N\SCOPE_02.csv,206.3113655
9,3,.\1D chain tension changing exp\old+new data comb\9N\SCOPE_03.csv,211.4913067
9,4,.\1D chain tension changing exp\old+new data comb\9N\SCOPE_04.csv,214.7926537
10,1,.\1D chain tension changing exp\old+new data comb\10N\SCOPE_16.csv,212.7709781
10,2,.\1D chain tension changing exp\old+new data comb\10N\SCOPE_17.csv,215.2517912
10,3,.\1D chain tension changing exp\old+new data comb\10N\SCOPE_18.csv,207.3735317
10,4,.\1D chain tension changing exp\old+new data comb\10N\SCOPE_19.csv,207.8989713
10,5,.\1D chain tension changing exp\old+new data comb\10N\SCOPE_20.csv,210.2069856
10,6,.\1D chain tension changing exp\old+new data comb\10N\scope_12.csv,188.3338801
10,7,.\1D chain tension changing exp\old+new data comb\10N\scope_13.csv,193.6513503
10,8,.\1D chain tension changing exp\old+new data comb\10N\scope_14.csv,192.0897802
11,1,.\1D chain tension changing exp\old+new data comb\11N\SCOPE_01.csv,208.4270803
11,2,.\1D chain tension changing exp\old+new data comb\11N\SCOPE_02.csv,214.6053901
11,3,.\1D chain tension changing exp\old+new data comb\11N\SCOPE_03.csv,214.2318375
11,4,.\1D chain tension changing exp\old+new data comb\11N\SCOPE_05.csv,210.3467
11,5,.\1D chain tension changing exp\old+new data comb\11N\SCOPE_06.csv,209.4715774
12,1,.\1D chain tension changing exp\old+new data comb\12N\SCOPE_15.csv,216.2181771
12,2,.\1D chain tension changing exp\old+new data comb\12N\SCOPE_16.csv,217.3424351
12,3,.\1D chain tension changing exp\old+new data comb\12N\SCOPE_17.csv,219.3002795
12,4,.\1D chain tension changing exp\old+new data comb\12N\SCOPE_18.csv,214.7510113
12,5,.\1D chain tension changing exp\old+new data comb\12N\SCOPE_19.csv,222.538567
12,6,.\1D chain tension changing exp\old+new data comb\12N\scope_12.csv,187.6479291
12,7,.\1D chain tension changing exp\old+new data comb\12N\scope_13.csv,199.2778117
12,8,.\1D chain tension changing exp\old+new data comb\12N\scope_14.csv,194.4502258
13,1,.\1D chain tension changing exp\old+new data comb\13N\SCOPE_01.csv,217.6841329
13,2,.\1D chain tension changing exp\old+new data comb\13N\SCOPE_03.csv,219.8225269
13,3,.\1D chain tension changing exp\old+new data comb\13N\SCOPE_04.csv,221.9366295
13,4,.\1D chain tension changing exp\old+new data comb\13N\SCOPE_05.csv,217.6627453
13,5,.\1D chain tension changing exp\old+new data comb\13N\SCOPE_06.csv,215.7338987
14,1,.\1D chain tension changing exp\old+new data comb\14N\SCOPE_16.csv,223.233719
14,2,.\1D chain tension changing exp\old+new data comb\14N\SCOPE_17.csv,224.159814
14,3,.\1D chain tension changing exp\old+new data comb\14N\SCOPE_18.csv,224.1144572
14,4,.\1D chain tension changing exp\old+new data comb\14N\scope_14.csv,196.1026318
14,5,.\1D chain tension changing exp\old+new data comb\14N\scope_15.csv,197.2550481
