pretension_N,csv_path,t1_s,t2_s,delta_t_s,velocity_(units_per_s)
3.0,.\1D chain tension changing exp\3n\scope_10.csv,0.0011318204,0.00193314517,0.0008013247699999999,179.70241953209558
4.0,.\1D chain tension changing exp\4N\scope_10.csv,0.00103815484,0.00181308945,0.0007749346100000001,185.82213020528272
5.0,.\1D chain tension changing exp\5N\scope_1.csv,0.00108580012,0.00188991991,0.0008041197899999999,179.07779635668462
6.0,.\1D chain tension changing exp\6N\scope_14.csv,0.00104029985,0.00182810454,0.0007878046899999999,182.78642134004053
8.0,.\1D chain tension changing exp\8N\scope_08.csv,0.00102515476,0.00178975431,0.0007645995500000001,188.33388013372488
9.0,.\1D chain tension changing exp\9N\scope_0.csv,0.00102807978,0.00183538459,0.00080730481,178.3712895256997
10.0,.\1D chain tension changing exp\10N\scope_12.csv,0.0009814745,0.00174607405,0.0007645995500000001,188.33388013372488
12.0,.\1D chain tension changing exp\12N\scope_12.csv,0.00099544959,0.00176284415,0.00076739456,187.64792911745425
14.0,.\1D chain tension changing exp\14N\scope_14.csv,0.00103392982,0.00176823919,0.0007343093699999999,196.10263178311345
